[Epoch 24/60] [lr 0.0001] [loss: 0.0673] ETA: 0:39:43.688614
[Epoch 24/60] [lr 0.0001] [loss: 0.0907] ETA: 0:38:58.201936
[Epoch 24/60] [lr 0.0001] [loss: 0.0928] ETA: 0:36:48.882442
[Epoch 24/60] [lr 0.0001] [loss: 0.048] ETA: 0:41:03.370269
[Epoch 24/60] [lr 0.0001] [loss: 0.0278] ETA: 0:40:37.480007
[Epoch 25/60] [lr 5e-05] [loss: 0.0496] ETA: 0:33:27.380766
[Epoch 25/60] [lr 5e-05] [loss: 0.0422] ETA: 0:38:23.486992
[Epoch 25/60] [lr 5e-05] [loss: 0.0394] ETA: 0:39:52.383384
[Epoch 25/60] [lr 5e-05] [loss: 0.0527] ETA: 0:37:57.900181
[Epoch 25/60] [lr 5e-05] [loss: 0.029] ETA: 0:39:41.140411
[Epoch 25/60] [lr 5e-05] [loss: 0.0503] ETA: 0:37:34.697713
[Epoch 25/60] [lr 5e-05] [loss: 0.0315] ETA: 0:39:31.724492
[Epoch 26/60] [lr 5e-05] [loss: 0.0525] ETA: 0:30:52.929654
[Epoch 26/60] [lr 5e-05] [loss: 0.038] ETA: 0:38:37.632992
[Epoch 26/60] [lr 5e-05] [loss: 0.0236] ETA: 0:38:37.129914
[Epoch 26/60] [lr 5e-05] [loss: 0.109] ETA: 0:32:38.336283
[Epoch 26/60] [lr 5e-05] [loss: 0.0447] ETA: 0:36:36.021782
[Epoch 26/60] [lr 5e-05] [loss: 0.0644] ETA: 0:37:08.756840
[Epoch 26/60] [lr 5e-05] [loss: 0.0562] ETA: 0:35:41.597616
[Epoch 27/60] [lr 5e-05] [loss: 0.021] ETA: 0:30:02.485260
[Epoch 27/60] [lr 5e-05] [loss: 0.0438] ETA: 0:37:10.768778
[Epoch 27/60] [lr 5e-05] [loss: 0.0542] ETA: 0:37:34.650672
[Epoch 27/60] [lr 5e-05] [loss: 0.0423] ETA: 0:35:59.694396
[Epoch 27/60] [lr 5e-05] [loss: 0.0537] ETA: 0:37:06.882047
[Epoch 27/60] [lr 5e-05] [loss: 0.0486] ETA: 0:35:58.970653
[Epoch 27/60] [lr 5e-05] [loss: 0.0613] ETA: 0:35:35.237782
[Epoch 28/60] [lr 5e-05] [loss: 0.0333] ETA: 0:30:30.622307
[Epoch 28/60] [lr 5e-05] [loss: 0.0318] ETA: 0:37:09.379931
[Epoch 28/60] [lr 5e-05] [loss: 0.052] ETA: 0:33:01.713150
[Epoch 28/60] [lr 5e-05] [loss: 0.0328] ETA: 0:36:37.132901
[Epoch 28/60] [lr 5e-05] [loss: 0.0498] ETA: 0:34:33.509758
[Epoch 28/60] [lr 5e-05] [loss: 0.0825] ETA: 0:34:25.529291
[Epoch 28/60] [lr 5e-05] [loss: 0.0476] ETA: 0:34:02.452332
[Epoch 29/60] [lr 5e-05] [loss: 0.0542] ETA: 0:27:24.555217
[Epoch 29/60] [lr 5e-05] [loss: 0.0243] ETA: 0:35:41.036390
[Epoch 29/60] [lr 5e-05] [loss: 0.0331] ETA: 0:34:02.485222
[Epoch 29/60] [lr 5e-05] [loss: 0.0604] ETA: 0:33:05.575132
[Epoch 29/60] [lr 5e-05] [loss: 0.0403] ETA: 0:33:11.194008
[Epoch 29/60] [lr 5e-05] [loss: 0.0611] ETA: 0:33:05.484705
[Epoch 29/60] [lr 5e-05] [loss: 0.0349] ETA: 0:35:09.182011
[Epoch 30/60] [lr 5e-05] [loss: 0.0278] ETA: 0:28:39.542162
[Epoch 30/60] [lr 5e-05] [loss: 0.0488] ETA: 0:32:48.739171
[Epoch 30/60] [lr 5e-05] [loss: 0.0249] ETA: 0:34:24.113371
[Epoch 30/60] [lr 5e-05] [loss: 0.047] ETA: 0:34:35.051880
[Epoch 30/60] [lr 5e-05] [loss: 0.0465] ETA: 0:30:51.873698
[Epoch 30/60] [lr 5e-05] [loss: 0.0495] ETA: 0:34:00.270495
[Epoch 30/60] [lr 5e-05] [loss: 0.031] ETA: 0:33:41.320117
[Epoch 31/60] [lr 5e-05] [loss: 0.0747] ETA: 0:26:05.733999
[Epoch 31/60] [lr 5e-05] [loss: 0.025] ETA: 0:33:07.209573
[Epoch 31/60] [lr 5e-05] [loss: 0.027] ETA: 0:33:09.008611
[Epoch 31/60] [lr 5e-05] [loss: 0.0497] ETA: 0:31:30.307662
[Epoch 31/60] [lr 5e-05] [loss: 0.0313] ETA: 0:33:06.098031
[Epoch 31/60] [lr 5e-05] [loss: 0.0345] ETA: 0:32:43.483407
[Epoch 31/60] [lr 5e-05] [loss: 0.0519] ETA: 0:30:48.362887
[Epoch 32/60] [lr 5e-05] [loss: 0.0365] ETA: 0:24:57.537847
[Epoch 32/60] [lr 5e-05] [loss: 0.0601] ETA: 0:32:12.494638
[Epoch 32/60] [lr 5e-05] [loss: 0.0286] ETA: 0:31:44.375566
[Epoch 32/60] [lr 5e-05] [loss: 0.032] ETA: 0:34:40.675574
[Epoch 32/60] [lr 5e-05] [loss: 0.0243] ETA: 0:31:34.829110
[Epoch 32/60] [lr 5e-05] [loss: 0.0368] ETA: 0:29:20.052310
[Epoch 32/60] [lr 5e-05] [loss: 0.0247] ETA: 0:30:54.206715
[Epoch 33/60] [lr 5e-05] [loss: 0.0458] ETA: 0:23:34.358494
[Epoch 33/60] [lr 5e-05] [loss: 0.0696] ETA: 0:29:25.921422
[Epoch 33/60] [lr 5e-05] [loss: 0.0382] ETA: 0:28:49.505773
[Epoch 33/60] [lr 5e-05] [loss: 0.024] ETA: 0:30:07.448916
[Epoch 33/60] [lr 5e-05] [loss: 0.0509] ETA: 0:28:28.377066
[Epoch 33/60] [lr 5e-05] [loss: 0.0422] ETA: 0:28:54.476691
[Epoch 33/60] [lr 5e-05] [loss: 0.0365] ETA: 0:30:13.161462
[Epoch 34/60] [lr 5e-05] [loss: 0.0319] ETA: 0:24:39.049158
[Epoch 34/60] [lr 5e-05] [loss: 0.0372] ETA: 0:28:18.349377
[Epoch 34/60] [lr 5e-05] [loss: 0.0494] ETA: 0:28:21.743699
[Epoch 34/60] [lr 5e-05] [loss: 0.0365] ETA: 0:27:29.486661
[Epoch 34/60] [lr 5e-05] [loss: 0.0291] ETA: 0:29:36.460615
[Epoch 34/60] [lr 5e-05] [loss: 0.0457] ETA: 0:29:33.113609
[Epoch 34/60] [lr 5e-05] [loss: 0.0405] ETA: 0:27:50.388906
[Epoch 35/60] [lr 5e-05] [loss: 0.0894] ETA: 0:20:38.940346
[Epoch 35/60] [lr 5e-05] [loss: 0.0642] ETA: 0:27:13.604264
[Epoch 35/60] [lr 5e-05] [loss: 0.0253] ETA: 0:28:22.168131
[Epoch 35/60] [lr 5e-05] [loss: 0.0218] ETA: 0:28:42.864658
[Epoch 35/60] [lr 5e-05] [loss: 0.0245] ETA: 0:28:19.767554
[Epoch 35/60] [lr 5e-05] [loss: 0.0592] ETA: 0:26:26.834037
[Epoch 35/60] [lr 5e-05] [loss: 0.0397] ETA: 0:26:27.180895
[Epoch 36/60] [lr 5e-05] [loss: 0.0663] ETA: 0:21:22.758951
[Epoch 36/60] [lr 5e-05] [loss: 0.0267] ETA: 0:28:00.033423
[Epoch 36/60] [lr 5e-05] [loss: 0.0358] ETA: 0:27:29.700032
[Epoch 36/60] [lr 5e-05] [loss: 0.0541] ETA: 0:25:32.151381
[Epoch 36/60] [lr 5e-05] [loss: 0.0318] ETA: 0:27:07.314281
[Epoch 36/60] [lr 5e-05] [loss: 0.0413] ETA: 0:26:57.199943
[Epoch 36/60] [lr 5e-05] [loss: 0.0576] ETA: 0:25:20.827423
[Epoch 37/60] [lr 5e-05] [loss: 0.0416] ETA: 0:20:29.344106
[Epoch 37/60] [lr 5e-05] [loss: 0.0583] ETA: 0:23:04.502578
[Epoch 37/60] [lr 5e-05] [loss: 0.037] ETA: 0:24:41.990025
[Epoch 37/60] [lr 5e-05] [loss: 0.0818] ETA: 0:24:52.623309
[Epoch 37/60] [lr 5e-05] [loss: 0.0316] ETA: 0:26:34.727918
[Epoch 37/60] [lr 5e-05] [loss: 0.0461] ETA: 0:24:25.402136
[Epoch 37/60] [lr 5e-05] [loss: 0.0276] ETA: 0:25:47.467601
[Epoch 38/60] [lr 5e-05] [loss: 0.0422] ETA: 0:19:41.001061
[Epoch 38/60] [lr 5e-05] [loss: 0.0425] ETA: 0:23:38.613364
[Epoch 38/60] [lr 5e-05] [loss: 0.0271] ETA: 0:23:35.044281
[Epoch 38/60] [lr 5e-05] [loss: 0.0299] ETA: 0:23:48.475342
[Epoch 38/60] [lr 5e-05] [loss: 0.0494] ETA: 0:22:46.173604
[Epoch 38/60] [lr 5e-05] [loss: 0.0596] ETA: 0:21:37.496122
[Epoch 38/60] [lr 5e-05] [loss: 0.0701] ETA: 0:23:09.127542
[Epoch 39/60] [lr 5e-05] [loss: 0.0352] ETA: 0:19:51.775134
[Epoch 39/60] [lr 5e-05] [loss: 0.0515] ETA: 0:21:28.358056
[Epoch 39/60] [lr 5e-05] [loss: 0.0341] ETA: 0:23:47.532596
[Epoch 39/60] [lr 5e-05] [loss: 0.0274] ETA: 0:23:21.226124
[Epoch 39/60] [lr 5e-05] [loss: 0.0383] ETA: 0:21:40.337333
[Epoch 39/60] [lr 5e-05] [loss: 0.0199] ETA: 0:23:10.968145
[Epoch 39/60] [lr 5e-05] [loss: 0.0325] ETA: 0:23:14.535137
[Epoch 40/60] [lr 5e-05] [loss: 0.0639] ETA: 0:16:14.058008
[Epoch 40/60] [lr 5e-05] [loss: 0.0191] ETA: 0:23:01.445637
